745.86,440.31,745.86,436.71
746.73,440.69,746.77,436.39
720.88,437.23,720.84,441.77
720.84,441.77,720.88,437.23
719.99,441.38,720.88,437.23
719.99,441.38,719.99,437.53
746.77,392.37,746.77,436.39
746.77,392.37,747.81,436.35
747.76,392.35,747.81,436.35
744.97,387.70,743.82,385.86
745.89,386.01,744.31,383.80
746.77,389.35,746.67,388.14
746.67,388.14,745.43,388.81
744.97,387.70,746.67,388.14
720.88,392.79,720.88,389.66
719.89,390.85,720.88,389.66
719.58,389.11,720.78,388.44
719.13,387.99,719.58,389.11
739.65,367.76,741.04,367.78
753.04,377.75,741.20,367.66
717.99,384.02,713.87,367.74
739.71,367.65,737.64,360.19
741.20,367.66,739.71,367.65
749.68,360.24,741.20,367.66
719.99,392.64,719.99,437.53
746.77,436.39,746.73,440.69
747.35,440.13,746.73,440.69
747.81,436.35,747.35,440.13
746.77,436.39,747.81,436.35
743.65,385.92,738.59,367.65
712.23,360.62,738.59,367.65
713.17,367.75,738.59,367.65
738.59,367.65,737.22,360.62
721.10,444.42,720.96,441.89
750.06,438.94,746.81,440.81
746.37,387.00,747.64,388.15
746.77,389.35,746.67,388.14
747.75,389.36,746.77,389.35
746.77,392.37,746.77,389.35
747.76,392.35,746.77,392.37
747.75,389.36,747.76,392.35
746.85,386.01,746.37,387.00
746.85,386.01,747.34,387.01
745.75,390.52,745.86,392.29
746.77,389.35,746.77,392.37
745.75,390.52,746.77,389.35
746.85,386.01,745.89,386.01
745.28,383.81,746.85,386.01
740.08,367.78,744.31,383.80
738.79,367.76,740.08,367.78
743.82,385.86,738.79,367.76
741.04,367.78,740.08,367.78
744.31,383.80,740.08,367.78
745.28,383.81,744.31,383.80
741.04,367.78,745.28,383.81
720.37,389.69,720.88,392.79
720.88,392.79,720.36,392.72
720.88,389.66,720.37,389.69
720.78,388.44,720.27,388.46
719.13,387.99,718.50,384.05
720.02,386.29,720.49,387.29
720.02,386.29,719.98,387.31
719.52,386.31,719.98,387.31
714.41,367.86,712.58,367.85
713.89,367.87,712.58,367.85
714.41,367.86,713.89,367.87
718.02,386.13,718.50,384.05
713.16,367.84,718.02,386.13
717.99,384.07,719.52,386.31
714.41,367.86,718.50,384.05
717.99,384.07,714.41,367.86
713.89,367.87,714.41,367.86
750.06,438.94,747.53,440.16
722.76,436.14,720.79,441.04
750.46,392.49,747.93,389.35
746.01,441.27,746.81,440.81
723.24,439.81,720.96,441.89
720.79,441.04,720.96,441.89
723.24,439.81,720.79,441.04
720.38,392.71,720.38,389.69
744.48,443.45,745.67,440.34
744.48,443.45,746.01,441.27
745.06,443.59,746.01,441.27
720.02,441.41,720.22,442.35
721.14,444.25,720.02,441.41
744.48,443.45,745.67,440.34
721.14,444.25,745.67,440.34
745.67,440.34,720.02,441.41
720.02,392.64,745.67,436.74
722.75,386.81,719.51,386.24
719.91,390.86,720.02,392.64
719.91,390.86,745.67,392.30
745.56,390.54,745.67,392.30
719.62,389.16,719.91,390.86
745.56,390.54,719.91,390.86
737.22,360.62,737.64,360.19
745.25,388.85,719.62,389.16
744.80,387.77,719.18,388.07
743.65,385.92,744.80,387.77
718.06,386.20,743.65,385.92
712.43,367.74,712.49,367.75
712.43,367.74,710.59,360.63
710.42,360.20,710.59,360.63
712.43,367.74,710.42,360.20
710.42,360.20,712.43,367.74
713.87,367.74,710.42,360.20
712.23,360.62,710.59,360.63
712.49,367.75,710.59,360.63
712.23,360.62,713.17,367.75
747.76,392.35,747.81,436.35
747.81,436.35,747.98,436.35
747.53,440.16,747.81,436.35
747.35,440.13,747.81,436.35
747.35,440.13,747.53,440.16
720.96,441.89,720.79,441.04
720.84,441.77,720.79,441.04
720.84,441.77,720.74,440.99
720.33,437.22,720.74,440.99
720.74,440.99,720.79,441.04
720.31,437.21,720.33,437.22
720.38,392.71,720.31,437.21
746.01,441.27,746.81,440.81
746.73,440.69,746.81,440.81
746.01,441.27,746.09,441.05
720.22,442.13,720.84,441.77
720.96,441.89,720.84,441.77
720.22,442.13,720.96,441.89
720.22,442.35,720.96,441.89
720.22,442.13,720.22,442.35
747.93,392.35,747.76,392.35
747.75,389.36,747.93,392.35
747.93,389.35,747.93,392.35
747.64,388.15,747.93,389.35
747.93,389.35,747.75,389.36
747.34,387.01,747.64,388.15
747.82,388.12,747.64,388.15
720.22,442.35,720.22,442.13
720.02,441.41,720.22,442.35
746.09,441.05,746.01,441.27
745.67,440.34,746.09,441.05
745.86,440.31,746.09,441.05
720.38,389.69,720.36,392.72
720.37,389.69,720.38,389.69
719.99,437.53,719.99,441.38
720.02,441.41,719.99,441.38
745.67,436.74,745.67,440.34
745.86,440.31,745.67,440.34
720.27,388.46,720.28,388.44
719.99,387.27,720.27,388.46
719.99,392.64,720.02,437.55
745.67,392.30,745.67,436.74
745.86,436.71,745.67,436.74
745.67,392.30,745.86,436.71
745.45,383.74,741.20,367.66
745.28,383.81,741.04,367.78
747.51,386.96,747.34,387.01
747.02,385.94,747.51,386.96
747.02,385.94,745.28,383.81
746.85,386.01,745.28,383.81
747.02,385.94,746.85,386.01
719.89,390.85,719.99,392.64
720.02,392.64,719.99,392.64
719.89,390.85,720.02,392.64
719.91,390.86,720.02,392.64
745.56,390.54,745.67,392.30
745.86,392.29,745.67,392.30
745.56,390.54,745.86,392.29
741.20,367.66,741.04,367.78
739.65,367.76,741.20,367.66
719.58,389.11,719.89,390.85
719.91,390.86,719.89,390.85
719.58,389.11,719.91,390.86
745.43,388.81,745.75,390.52
719.98,387.31,719.99,387.27
719.51,386.24,719.98,387.31
719.52,386.31,719.98,387.31
717.99,384.02,719.51,386.24
717.99,384.07,719.52,386.31
717.99,384.07,717.99,384.02
713.89,367.87,717.99,384.07
713.87,367.74,713.89,367.87
719.62,389.16,719.58,389.11
719.13,387.99,719.62,389.16
744.80,387.77,745.25,388.85
745.43,388.81,745.25,388.85
744.80,387.77,745.43,388.81
744.97,387.70,745.43,388.81
743.65,385.92,744.80,387.77
744.97,387.70,744.80,387.77
743.65,385.92,744.97,387.70
743.82,385.86,744.97,387.70
743.82,385.86,743.65,385.92
738.59,367.65,743.82,385.86
738.79,367.76,743.82,385.86
739.37,367.76,739.65,367.76
739.71,367.65,739.65,367.76
739.37,367.76,739.71,367.65
739.33,367.66,739.71,367.65
739.33,367.66,738.59,367.65
739.33,367.66,738.79,367.76
739.37,367.76,738.79,367.76
739.33,367.66,739.37,367.76
712.43,367.74,713.87,367.74
713.89,367.87,713.87,367.74
712.43,367.74,713.89,367.87
712.58,367.85,713.89,367.87
719.18,388.07,719.13,387.99
718.02,386.13,719.18,388.07
718.06,386.20,719.18,388.07
712.49,367.75,712.43,367.74
712.49,367.75,712.58,367.85
712.63,367.85,712.58,367.85
713.17,367.75,712.49,367.75
712.63,367.85,712.49,367.75
713.17,367.75,712.63,367.85
713.16,367.84,712.63,367.85
713.17,367.75,713.16,367.84
713.16,367.84,718.02,386.13
718.06,386.20,718.02,386.13
713.16,367.84,718.06,386.20
713.17,367.75,718.06,386.20
713.16,367.84,713.17,367.75
751.64,412.93,751.76,412.25
750.77,412.80,751.76,412.25
750.87,412.25,751.76,412.25
750.77,412.80,750.87,412.25
751.64,412.93,750.77,412.80
750.50,413.19,750.77,412.80
750.50,413.19,751.64,412.93
751.30,413.41,751.64,412.93
724.42,413.77,724.10,413.54
724.22,412.84,724.10,413.54
724.68,413.37,724.10,413.54
724.22,412.84,724.68,413.37
724.78,412.81,724.68,413.37
724.22,412.84,724.78,412.81
750.03,412.79,750.37,413.33
750.12,413.31,749.74,413.13
750.37,413.33,749.74,413.13
750.12,413.31,750.37,413.33
750.83,413.56,750.37,413.33
750.12,413.31,750.83,413.56
749.90,412.09,749.37,412.12
749.47,412.69,750.03,412.79
723.42,413.26,723.69,413.70
722.55,413.39,723.69,413.70
722.55,413.39,722.87,413.94
722.87,413.94,723.69,413.70
724.05,413.89,723.69,413.70
722.87,413.94,724.05,413.89
723.32,414.17,724.05,413.89
