x,y,z
7.406460,-0.131850,-1.501585
7.415715,-0.136978,-1.502170
7.408156,-0.127416,-1.513649
7.403302,-0.125446,-1.511740
7.401967,-0.172933,-1.404346
7.399880,-0.174464,-1.398236
7.392712,-0.167804,-1.403762
7.399294,-0.125191,-1.507111
7.395872,-0.174209,-1.393607
7.383851,-0.165580,-1.397224
7.383457,-0.162676,-1.403178
7.397205,-0.126721,-1.501001
7.391017,-0.172238,-1.391700
7.386617,-0.169080,-1.393023
7.375274,-0.219768,-1.287890
7.348587,-0.203488,-1.289521
7.437532,-0.243141,-1.316583
7.361073,-0.212784,-1.285021
7.414925,-0.140782,-1.515037
7.496429,-0.102176,-1.706587
7.415575,-0.144254,-1.508154
7.390554,-0.130388,-1.506574
7.393168,-0.128725,-1.513663
7.398507,-0.129336,-1.519224
7.411068,-0.136297,-1.520017
7.405057,-0.132107,-1.521551
7.401026,-0.182303,-1.404632
7.442609,-0.242928,-1.323636
7.398412,-0.183966,-1.397543
7.393074,-0.183356,-1.391982
7.386521,-0.180584,-1.389656
7.376656,-0.171910,-1.396170
7.337049,-0.192889,-1.298150
7.376005,-0.168437,-1.403052
7.380512,-0.176395,-1.391189
7.504772,0.145787,-1.614276
7.556391,0.280783,-1.981566
7.421452,0.191960,-1.609015
7.516196,0.047333,-1.432370
7.510099,0.046058,-1.421631
7.518963,0.043833,-1.428169
7.519354,0.040929,-1.422215
7.511795,0.050492,-1.433694
7.506941,0.052461,-1.431785
7.505606,0.004974,-1.324392
7.496351,0.010103,-1.323807
7.503520,0.003444,-1.318281
7.502933,0.052716,-1.427156
7.499511,0.003698,-1.313652
7.487490,0.012327,-1.317269
7.487096,0.015232,-1.323223
7.500844,0.051186,-1.421046
7.494656,0.005669,-1.311745
7.490256,0.008827,-1.313068
7.486507,-0.028824,-1.202076
7.548766,-0.052197,-1.230769
7.459820,-0.012544,-1.203707
7.486507,-0.028824,-1.202076
7.459820,-0.012544,-1.203707
7.472306,-0.021840,-1.199207
7.526158,0.050162,-1.429223
7.526809,0.046690,-1.422340
7.607662,0.088768,-1.620773
7.501787,0.060556,-1.420760
7.504401,0.062219,-1.427849
7.509740,0.061608,-1.433410
7.522301,0.054647,-1.434204
7.516291,0.058837,-1.435737
7.512259,0.008641,-1.318819
7.509645,0.006978,-1.311730
7.553842,-0.051984,-1.237822
7.504307,0.007588,-1.306168
7.497754,0.010360,-1.303842
7.487889,0.019034,-1.310356
7.487238,0.022507,-1.317239
7.448283,-0.001945,-1.212336
7.491746,0.014549,-1.305375
7.529216,0.000207,-1.259341
7.565393,-0.019841,-1.261626
7.559454,-0.030037,-1.266208
7.524637,-0.001007,-1.260431
7.520350,-0.008366,-1.263739
7.550140,0.069543,-1.475708
7.589245,0.047872,-1.478177
7.554428,0.076902,-1.472400
